release_id,compressor_type,refrigerant,condition,drive_class,samsung_model,competitor_manufacturer,competitor_model,metric,samsung_value,competitor_value,capacity_diff_pct,competitor_delta_pct,verdict,code
release:2026-08-03:001,Re,R600a,ASHRAE-LBP,Variable,ENV4A5DL2B,Panasonic,TKF76E25DCH-52RPS,cop,1.97,2.06,0.6756756756756757,4.56852791878173,DIRECT,DIRECT_OK
release:2026-08-03:001,Ro,R32,ARI,Variable,UB9TK2150F,Panasonic,9RL160Z,cop,3.16,2.56,5.864789933887823,-18.9873417721519,DIRECT,DIRECT_OK
release:2026-08-03:001,Ro,R32,ARI,Variable,UB9TK2150F,Panasonic,9RL160Z,eer,11,8.73,5.864789933887823,-20.636363636363633,DIRECT,DIRECT_OK
release:2026-08-03:001,Ro,R454B,ARI,Variable,UF5LB3520F,Panasonic,KKD420Z,cop,3.25,4.36,10.012234910277325,34.15384615384616,DIRECT,DIRECT_OK
release:2026-08-03:001,Ro,R454B,ARI,Variable,UF5LB3520F,Panasonic,KKD420Z,eer,11.1,14.88,10.012234910277325,34.05405405405407,DIRECT,DIRECT_OK
release:2026-08-03:001,Ro,R454B,ARI,Variable,UF8LB3265F,Panasonic,KRD220Z,cop,3.22,4.25,7.142857142857142,31.987577639751546,DIRECT,DIRECT_OK
release:2026-08-03:001,Ro,R454B,ARI,Variable,UF8LB3265F,Panasonic,KRD220Z,eer,11,14.49,7.142857142857142,31.72727272727273,DIRECT,DIRECT_OK
release:2026-08-03:001,Ro,R410A,ARI,Variable,UG4T200FUA,Panasonic,5KD184XAA21,cop,3.31,3.01,8.108108108108109,-9.063444108761336,DIRECT,DIRECT_OK
release:2026-08-03:001,Ro,R410A,ARI,Variable,UG4T200FUA,Panasonic,5KD184XAA21,eer,11.3,10.27,8.108108108108109,-9.115044247787619,DIRECT,DIRECT_OK
release:2026-08-03:001,Ro,R410A,ARI,Variable,UG5TM5520F,Panasonic,5VD550ZD,cop,3.28,3.17,11.686629977338944,-3.3536585365853626,DIRECT,DIRECT_OK
release:2026-08-03:001,Ro,R410A,ARI,Variable,UG5TM5520F,Panasonic,5VD550ZD,eer,11.2,10.82,11.686629977338944,-3.3928571428571344,DIRECT,DIRECT_OK
release:2026-08-03:001,Ro,R410A,ARI,Variable,UG8TH8265F,Panasonic,5KD240XAA21,cop,3.43,3.03,6.964856230031949,-11.661807580174937,DIRECT,DIRECT_OK
release:2026-08-03:001,Ro,R410A,ARI,Variable,UG8TH8265F,Panasonic,5KD240XAA21,eer,11.7,10.35,6.964856230031949,-11.538461538461537,DIRECT,DIRECT_OK
release:2026-08-03:001,Sc,R454B,DOE-B,Fixed,DS8LC5040IN,GMCC,STDA029N1ULB,eer,6.64,6.4,12.31060606060606,-3.6144578313252915,DIRECT,DIRECT_OK
release:2026-08-03:001,Sc,R454B,DOE-B,Fixed,DS8LC5040IN,GMCC,STDA031N1ULB,eer,6.64,6.43,6.212121212121212,-3.1626506024096384,DIRECT,DIRECT_OK
